,carat,cut,color,clarity,depth,table,price,x,y,z
0,0.53,Ideal,D,VS,61.4,56.0,1857,5.2,5.23,3.2
1,0.7,Very Good,D,SI,63.4,58.0,2734,5.63,5.66,3.58
2,1.0,Premium,G,VS,62.0,62.0,6115,6.38,6.33,3.94
3,1.22,Premium,D,SI,61.8,58.0,5643,6.86,6.8,4.22
4,0.41,Very Good,E,VS,62.7,58.0,833,4.68,4.73,2.95
5,1.01,Good,E,SI,64.1,59.0,4399,6.31,6.35,4.06
6,0.41,Ideal,D,SI,60.8,57.0,791,4.8,4.84,2.93
7,0.81,Premium,H,SI,59.1,57.0,2585,6.16,6.09,3.62
8,0.51,Very Good,I,VS,62.5,59.0,1301,5.1,5.14,3.2
9,2.54,Very Good,I,SI,63.4,56.0,12095,8.68,8.64,5.49
10,0.34,Good,F,SI,63.9,56.0,417,4.4,4.43,2.82
11,0.55,Ideal,F,VS,61.2,56.0,2079,5.33,5.28,3.25
12,0.43,Ideal,G,VVS,61.5,56.0,1264,4.87,4.85,2.99
13,0.9,Good,H,VVS,63.8,59.0,4847,6.09,6.13,3.9
14,0.32,Ideal,G,VVS,62.1,55.0,730,4.35,4.38,2.71
15,1.2,Premium,J,VS,62.0,59.0,4704,6.77,6.72,4.18
16,1.32,Premium,H,VS,61.3,58.0,5958,7.09,7.01,4.32
17,0.57,Premium,J,VS,60.2,62.0,1176,5.4,5.33,3.23
18,0.31,Very Good,H,VS,62.4,58.0,544,4.28,4.34,2.69
19,1.0,Premium,F,VS,62.2,59.0,6328,6.37,6.29,3.94
20,2.11,Premium,G,SI,62.2,58.0,13598,8.19,8.23,5.11
21,0.42,Ideal,H,SI,61.7,55.0,885,4.84,4.85,2.99
22,0.41,Ideal,F,VS,60.8,56.0,1007,4.76,4.79,2.92
23,0.35,Ideal,F,VS,61.9,54.0,906,4.54,4.5,2.8
24,0.41,Premium,E,VS,59.8,61.0,1153,4.85,4.79,2.88
25,0.72,Very Good,F,VVS,59.2,63.0,3952,5.77,5.86,3.44
26,0.39,Premium,G,VS,62.4,56.0,1009,4.68,4.64,2.91
